[Header]
2.05167	1088
2.05333	1087
2.05500	1087
2.05667	1088
2.05833	1087
2.06000	1087
2.06167	1087
2.06333	1087
2.06500	1088
2.06667	1087
2.06833	1087
2.07000	1088
2.07167	1087
2.07333	1087
2.07500	1087
2.07667	1087
2.07833	1087
2.08000	1087
2.08167	1088
2.08333	1087
2.08500	1088
2.08667	1087
2.08833	1087
2.09000	1087
2.09167	1086
2.09333	1087
2.09500	1087
2.09667	1087
2.09833	1087
2.10000	1086
2.10167	1088
2.10333	1087
2.10500	1087
2.10667	1088
2.10833	1088
2.11000	1087
2.11167	1088
2.11333	1088
2.11500	1088
2.11667	1088
2.11833	1088
2.12000	1089
2.12167	1088
2.12333	1088
2.12500	1088
2.12667	1089
2.12833	1088
2.13000	1088
2.13167	1088
2.13333	1088
2.13500	1088
2.13667	1088
2.13833	1088
2.14000	1088
2.14167	1088
2.14333	1088
2.14500	1089
2.14667	1088
2.14833	1088
2.15000	1089
2.15167	1088
2.15333	1089
2.15500	1089
2.15667	1089
2.15833	1089
2.16000	1089
2.16167	1090
2.16333	1090
2.16500	1090
2.16667	1091
2.16833	1090
2.17000	1090
2.17167	1091
2.17333	1089
2.17500	1090
2.17667	1090
2.17833	1090
2.18000	1090
2.18167	1090
2.18333	1090
2.18500	1090
2.18667	1089
2.18833	1090
2.19000	1089
2.19167	1088
2.19333	1089
2.19500	1089
2.19667	1088
2.19833	1088
2.20000	1087
2.20167	1088
2.20333	1086
2.20500	1087
2.20667	1086
2.20833	1086
2.21000	1086
2.21167	1085
2.21333	1085
2.21500	1084
2.21667	1084
2.21833	1085
2.22000	1083
2.22167	1084
2.22333	1083
2.22500	1083
2.22667	1084
2.22833	1082
2.23000	1083
2.23167	1083
2.23333	1082
2.23500	1082
2.23667	1083
2.23833	1082
2.24000	1081
2.24167	1082
2.24333	1082
2.24500	1082
2.24667	1081
2.24833	1082
2.25000	1082
2.25167	1082
2.25333	1082
2.25500	1081
2.25667	1082
2.25833	1082
2.26000	1082
2.26167	1082
2.26333	1082
2.26500	1082
